#Station Number:A02170
#Station Name:Sacramento River at Fremont Weir (West End)
#Station Type:Surface Water
#Parameter:Stage
#Output Interval (Unit of Measure):Raw  (FOOT)
#Output Date Range:Water Year (10/1 - 9/30)
#Start and End Date of Output Date Range:10/01/2020 - 08/18/2021
#Query Date and Time:10/19/2021 12:07:51
Date Time,Stage Raw  (FOOT),Quality Code
10/01/2020 00:00:00,13.58,1: Good data
10/01/2020 00:15:00,13.57,1: Good data
10/01/2020 00:30:00,13.58,1: Good data
10/01/2020 00:45:00,13.58,1: Good data
10/01/2020 01:00:00,13.57,1: Good data
10/01/2020 01:15:00,13.57,1: Good data
10/01/2020 01:30:00,13.58,1: Good data
10/01/2020 01:45:00,13.57,1: Good data
10/01/2020 02:00:00,13.57,1: Good data
10/01/2020 02:15:00,13.58,1: Good data
10/01/2020 02:30:00,13.57,1: Good data
10/01/2020 02:45:00,13.57,1: Good data
10/01/2020 03:00:00,13.57,1: Good data
10/01/2020 03:15:00,13.56,1: Good data
10/01/2020 03:30:00,13.57,1: Good data
10/01/2020 03:45:00,13.56,1: Good data
10/01/2020 04:00:00,13.58,1: Good data
10/01/2020 04:15:00,13.57,1: Good data
10/01/2020 04:30:00,13.57,1: Good data
10/01/2020 04:45:00,13.56,1: Good data
10/01/2020 05:00:00,13.57,1: Good data
10/01/2020 05:15:00,13.57,1: Good data
10/01/2020 05:30:00,13.57,1: Good data
10/01/2020 05:45:00,13.56,1: Good data
10/01/2020 06:00:00,13.56,1: Good data
10/01/2020 06:15:00,13.55,1: Good data
10/01/2020 06:30:00,13.55,1: Good data
10/01/2020 06:45:00,13.56,1: Good data
10/01/2020 07:00:00,13.54,1: Good data
10/01/2020 07:15:00,13.54,1: Good data
10/01/2020 07:30:00,13.54,1: Good data
10/01/2020 07:45:00,13.54,1: Good data
10/01/2020 08:00:00,13.53,1: Good data
10/01/2020 08:15:00,13.53,1: Good data
10/01/2020 08:30:00,13.53,1: Good data
10/01/2020 08:45:00,13.52,1: Good data
10/01/2020 09:00:00,13.53,1: Good data
10/01/2020 09:15:00,13.53,1: Good data
10/01/2020 09:30:00,13.53,1: Good data
10/01/2020 09:45:00,13.53,1: Good data
10/01/2020 10:00:00,13.52,1: Good data
10/01/2020 10:15:00,13.53,1: Good data
10/01/2020 10:30:00,13.52,1: Good data
10/01/2020 10:45:00,13.52,1: Good data
10/01/2020 11:00:00,13.53,1: Good data
10/01/2020 11:15:00,13.52,1: Good data
10/01/2020 11:30:00,13.52,1: Good data
10/01/2020 11:45:00,13.53,1: Good data
10/01/2020 12:00:00,13.52,1: Good data
10/01/2020 12:15:00,13.52,1: Good data
10/01/2020 12:30:00,13.52,1: Good data
10/01/2020 12:45:00,13.51,1: Good data
10/01/2020 13:00:00,13.52,1: Good data
10/01/2020 13:15:00,13.51,1: Good data
10/01/2020 13:30:00,13.51,1: Good data
10/01/2020 13:45:00,13.51,1: Good data
10/01/2020 14:00:00,13.51,1: Good data
10/01/2020 14:15:00,13.5,1: Good data
10/01/2020 14:30:00,13.51,1: Good data
10/01/2020 14:45:00,13.51,1: Good data
10/01/2020 15:00:00,13.51,1: Good data
10/01/2020 15:15:00,13.51,1: Good data
10/01/2020 15:30:00,13.5,1: Good data
10/01/2020 15:45:00,13.5,1: Good data
10/01/2020 16:00:00,13.5,1: Good data
10/01/2020 16:15:00,13.5,1: Good data
10/01/2020 16:30:00,13.5,1: Good data
10/01/2020 16:45:00,13.5,1: Good data
10/01/2020 17:00:00,13.5,1: Good data
