dateTime,mean_Temp,mean_discharge
2015-12-01T00:00:00Z,9.396874999999996,35.01266129032265
2016-01-01T00:00:00Z,NA,591.2208739495761
2016-02-01T00:00:00Z,NA,254.53857758621407
2016-03-01T00:00:00Z,15.044354838709673,NA
2016-04-01T00:00:00Z,NA,428.3981944444529
2016-05-01T00:00:00Z,NA,63.159879032257976
2016-06-01T00:00:00Z,NA,62.799652777777816
2016-07-01T00:00:00Z,NA,258.59257142857274
2016-08-01T00:00:00Z,NA,44.84634803096598
2016-09-01T00:00:00Z,NA,40.15708333333333
2016-10-01T00:00:00Z,NA,27.883803763440913
2016-11-01T00:00:00Z,NA,27.463055555555535
2016-12-01T00:00:00Z,9.293615591397854,2066.905544354804
2017-01-01T00:00:00Z,NA,NA
2017-02-01T00:00:00Z,9.862127976190475,120084.375
2017-03-01T00:00:00Z,NA,23753.252688171888
2017-04-01T00:00:00Z,14.87986111111111,13989.708333333085
2017-05-01T00:00:00Z,NA,1636.0959677418514
2017-06-01T00:00:00Z,NA,225.64065972221553
2017-07-01T00:00:00Z,NA,28.363071236559122
2017-08-01T00:00:00Z,NA,19.649361559139802
2017-09-01T00:00:00Z,NA,NA
2017-10-01T00:00:00Z,NA,7.2048756720430065
2017-11-01T00:00:00Z,NA,30.20173958333337
2017-12-01T00:00:00Z,NA,25.955294117647057
2018-01-01T00:00:00Z,NA,58.286112979152655
2018-02-01T00:00:00Z,NA,51.94133184523807
2018-03-01T00:00:00Z,NA,141.18575268817173
2018-04-01T00:00:00Z,18.628293361140077,NA
2018-05-01T00:00:00Z,21.797815860215053,NA
2018-06-01T00:00:00Z,NA,NA
2018-07-01T00:00:00Z,NA,NA
2018-08-01T00:00:00Z,NA,NA
2018-09-01T00:00:00Z,NA,366.04010416666887
2018-10-01T00:00:00Z,18.75594758064517,12.525732526881704
2018-11-01T00:00:00Z,NA,NA
2018-12-01T00:00:00Z,NA,NA
2019-01-01T00:00:00Z,10.339146505376346,1934.1620026881203
2019-02-01T00:00:00Z,NA,NA
2019-03-01T00:00:00Z,NA,31470.218413978226
2019-04-01T00:00:00Z,NA,NA
2019-05-01T00:00:00Z,NA,NA
2019-06-01T00:00:00Z,NA,161.10017361111323
2019-07-01T00:00:00Z,NA,22.61082352941177
2019-08-01T00:00:00Z,25.680477150537634,NA
2019-09-01T00:00:00Z,22.434166666666673,455.4048611111077
2019-10-01T00:00:00Z,NA,18.439307795698888
2019-11-01T00:00:00Z,NA,18.352764255910984
2019-12-01T00:00:00Z,NA,106.64173387096717
2020-01-01T00:00:00Z,NA,79.08501344086031
2020-02-01T00:00:00Z,NA,108.77887931034503
2020-03-01T00:00:00Z,NA,47.7936491935483
2020-04-01T00:00:00Z,NA,32.874722222222225
2020-05-01T00:00:00Z,NA,NA
2020-06-01T00:00:00Z,NA,NA
2020-07-01T00:00:00Z,NA,21.503259408602155
2020-08-01T00:00:00Z,NA,16.95540994623655
2020-09-01T00:00:00Z,NA,34.6378125
2020-10-01T00:00:00Z,NA,11.170826612903236
2020-11-01T00:00:00Z,NA,22.383451388888986
2020-12-01T00:00:00Z,NA,22.840893817204314
2021-01-01T00:00:00Z,NA,31.849361559139897
2021-02-01T00:00:00Z,NA,46.442332589285904
2021-03-01T00:00:00Z,NA,12.702355510752698
2021-04-01T00:00:00Z,NA,15.82182291666668
2021-05-01T00:00:00Z,NA,NA
2021-06-01T00:00:00Z,NA,6.596930555555551
2021-07-01T00:00:00Z,NA,6.467306338028175
2021-08-01T00:00:00Z,NA,10.126118951612899
2021-09-01T00:00:00Z,NA,11.871847222222225
2021-10-01T00:00:00Z,NA,185.32203836028657
