date,mean_Temp,mean_discharge,mean_stage
1995-04-20,NA,100075,10.4375
1995-04-21,NA,61801.583333333336,12.105
1995-04-22,NA,55359.166666666664,11.900208333333333
1995-04-23,NA,52169.40625,11.889791666666667
1995-04-24,NA,42206.48351648352,11.973406593406594
1995-04-28,NA,6223.9655172413795,11.692413793103448
1995-04-29,NA,33926.979166666664,12.3059375
1995-04-30,NA,44389.6875,12.307395833333333
1995-05-01,NA,52477.229166666664,12.574791666666666
1995-05-02,NA,62841.8125,12.595208333333334
1995-05-03,NA,69508.33333333333,12.506458333333333
1995-05-04,NA,97975.17708333333,12.788958333333333
1995-05-05,NA,127127.08333333333,13.083958333333333
1995-05-06,NA,128639.58333333333,12.9475
1995-05-07,NA,120780.20833333333,12.820729166666666
1995-05-08,NA,108712.5,12.716145833333334
1995-05-09,NA,98116.66666666667,12.489166666666668
1995-05-10,NA,88207.91666666667,12.381354166666666
1995-05-11,NA,78049.375,12.600104166666666
1995-05-12,NA,73378.05208333333,12.76625
1995-05-13,NA,68744.58333333333,12.975833333333334
1995-05-14,NA,67903.01041666667,12.8315625
1995-05-15,NA,64618.145833333336,12.882916666666667
1995-05-16,NA,60068.041666666664,12.867708333333333
1995-05-17,NA,58978.791666666664,12.962604166666667
1995-05-18,NA,54911.125,12.727395833333333
1995-05-19,NA,47579.479166666664,12.570416666666667
1995-05-20,NA,42750.625,12.53625
1995-05-21,NA,42097.322916666664,12.443020833333334
1995-05-22,NA,37560.416666666664,12.160416666666666
1995-05-23,NA,31427.291666666668,12.112291666666666
1995-05-24,NA,31221.25,12.2825
1995-05-25,NA,32322.78125,12.369583333333333
1995-05-26,NA,36587.9375,12.487916666666667
1995-05-27,NA,40977.5,12.371145833333333
1995-05-28,NA,39821.5625,12.296041666666667
1995-05-29,NA,39678.75,12.397708333333334
1995-05-30,NA,40152.135416666664,12.471770833333334
1995-05-31,NA,40882.708333333336,12.321458333333332
1995-06-01,NA,38605.208333333336,12.376666666666667
1995-06-02,NA,45974.145833333336,12.6171875
1995-06-03,NA,40729.3125,12.165104166666667
1995-06-04,NA,37945.729166666664,12.18625
1995-06-05,NA,41435.416666666664,12.095
1995-06-06,NA,36030.1875,11.608229166666666
1995-06-07,NA,25294.395833333332,11.474375
1995-06-08,NA,29925.520833333332,11.784479166666667
1995-06-09,NA,31910.208333333332,12.0009375
1995-06-10,NA,29369.166666666668,12.10125
1995-06-11,NA,29133.25,12.2328125
1995-06-12,NA,29403.020833333332,12.313125
1995-06-13,NA,30082.5,12.362395833333334
1995-06-14,NA,31051.770833333332,12.460625
1995-06-15,NA,27444.479166666668,12.498333333333333
1995-06-16,NA,33925.833333333336,12.439375
1995-06-17,NA,34163.958333333336,12.189270833333333
1995-06-18,NA,37695.625,12.125520833333333
1995-06-19,NA,39506.458333333336,12.029791666666666
1995-06-20,NA,33588.645833333336,11.777395833333333
1995-06-21,NA,30102.5,11.821145833333333
1995-06-22,NA,26968.229166666668,11.93125
1995-06-23,NA,30487.395833333332,11.959166666666667
1995-06-24,NA,27844.583333333332,12.0096875
1995-06-25,NA,27138.229166666668,12.159479166666667
1995-06-26,NA,26896.385416666668,12.451875
1995-06-27,NA,30746.552083333332,12.8409375
1995-06-28,NA,33829.375,12.671875
1995-06-29,NA,34926.34375,12.690208333333333
1995-06-30,NA,37674.479166666664,12.620520833333334
1995-07-01,NA,35536.666666666664,12.492916666666666
1995-07-02,NA,34400.9375,12.417708333333334
1995-07-03,NA,33229.166666666664,12.391354166666666
1995-07-04,NA,31106.875,12.212291666666667
1995-07-05,NA,27317.708333333332,12.176145833333333
1995-07-06,NA,27438.260416666668,12.074166666666667
1995-07-07,NA,25520.104166666668,12.030625
1995-07-08,NA,18164.739583333332,12.112708333333334
1995-07-09,NA,17207.333333333332,12.336666666666666
1995-07-10,NA,20214.791666666668,12.389375
1995-07-11,NA,21766.875,12.490104166666667
1995-07-12,NA,25069.0625,12.591875
1995-07-13,NA,23163.229166666668,12.267604166666667
1995-07-14,NA,21769.270833333332,12.27375
1995-07-15,NA,20588.333333333332,12.251979166666667
1995-07-16,NA,18179.6875,12.357083333333334
1995-07-17,NA,22373.75,12.505416666666667
1995-07-18,NA,33610.677083333336,12.3409375
1995-07-19,NA,36459.677083333336,12.4721875
1995-07-20,NA,38280.010416666664,12.425416666666667
1995-07-21,NA,32893.708333333336,12.3075
1995-07-22,NA,27095.104166666668,12.284583333333334
1995-07-23,NA,26044.6875,12.275625
1995-07-24,NA,23482.916666666668,12.134479166666667
1995-07-25,NA,21851.041666666668,12.187708333333333
1995-07-26,NA,20175.53125,12.158854166666666
1995-07-27,NA,19719.166666666668,12.077708333333334
1995-07-28,NA,17465.520833333332,12.195104166666667
1995-07-29,NA,17136.677083333332,12.166458333333333
1995-07-30,NA,15854.166666666666,11.7803125
1995-07-31,NA,11366.958333333334,11.811458333333333
1995-08-01,NA,12668.697916666666,12.001354166666667
1995-08-02,NA,12832.604166666666,12.059166666666666
1995-08-03,NA,12575.677083333334,12.174166666666666
1995-08-04,NA,10839,12.257083333333334
1995-08-05,NA,10157.166666666666,12.358333333333333
1995-08-06,NA,7590.3125,12.3865625
1995-08-07,NA,7993.46875,12.374895833333333
1995-08-08,NA,9354.270833333334,12.100729166666667
1995-08-09,NA,7840.177083333333,12.159375
1995-08-10,NA,10134.333333333334,12.464479166666667
1995-08-11,NA,14720.520833333334,12.275520833333333
1995-08-12,NA,12069.9375,12.017708333333333
1995-08-13,NA,11271.875,11.898333333333333
